Issuer Name,Theme,Issue Date,Amount Issued,Currency,Amount (USD),Country,Sector,Narrative
State of the Grand-Duchy of Luxembourg,Sustainability,2020-09-14,1500000000,EUR,1781400000,Luxembourg,Sovereign,Climate Bonds aligned Luxembourg sovereign issuance - State of the Grand-Duchy of Luxembourg.
Republic of Lithuania,Green,2020-05-20,28000000,EUR,30682400,Lithuania,Sovereign,Climate Bonds aligned Lithuania sovereign issuance - Republic of Lithuania.
Republic of Lithuania,Green,2020-03-04,20000000,EUR,22250000,Lithuania,Sovereign,Climate Bonds aligned Lithuania sovereign issuance - Republic of Lithuania.
Republic of Lithuania,Green,2018-05-03,20000000,EUR,23920000,Lithuania,Sovereign,Climate Bonds aligned Lithuania sovereign issuance - Republic of Lithuania.
Philippine Government International Bond,Sustainability,2022-04-22,6000000000,JPY,47691300,Philippines,Sovereign,Climate Bonds aligned Philippines sovereign issuance - Philippine Government International Bond.
Philippine Government International Bond,Sustainability,2022-04-22,7100000000,JPY,56434705,Philippines,Sovereign,Climate Bonds aligned Philippines sovereign issuance - Philippine Government International Bond.
Philippine Government International Bond,Sustainability,2022-04-22,5000000000,JPY,39737250,Philippines,Sovereign,Climate Bonds aligned Philippines sovereign issuance - Philippine Government International Bond.
Philippine Government International Bond,Sustainability,2022-04-22,52000000000,JPY,413267400,Philippines,Sovereign,Climate Bonds aligned Philippines sovereign issuance - Philippine Government International Bond.
Mexico Government (United Mexican States),Sustainability,2022-09-08,29700000000,JPY,214113537,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-09-08,3200000000,JPY,23069472,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-09-08,23800000000,JPY,169944852,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2022-08-19,2203580000,USD,2203580000,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Mexico Government (United Mexican States),Sustainability,2023-10-27,5250000000,MXN,287119350,Mexico,Sovereign,Climate Bonds aligned Mexico sovereign issuance - Mexico Government (United Mexican States).
Republic of Indonesia,Sustainability,2023-05-26,6000000000,JPY,41750520,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Sustainability,2023-05-26,14700000000,JPY,102288774,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Government of Hungary,Green,2022-04-14,10000000000,HUF,28887060,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-10-27,14499980000,HUF,35311488,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-06-09,16499980000,HUF,44711637,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-09-29,10000000000,HUF,23003816,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-05-12,22071920000,HUF,60105846,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Japan,Green,2024-02-28,799800000000,JPY,5308272600,Japan,Sovereign,Climate Bonds aligned Japan sovereign issuance - Government of Japan.
Government of Japan,Green,2024-02-15,799500000000,JPY,5331066000,Japan,Sovereign,Climate Bonds aligned Japan sovereign issuance - Government of Japan.
Republic of Italy,Green,2023-10-16,1500000000,EUR,1583104500,Italy,Sovereign,Climate Bonds aligned Italy sovereign issuance - Republic of Italy.
Republic of Italy,Green,2021-03-10,8500000000,EUR,10099600000,Italy,Sovereign,Climate Bonds aligned Italy sovereign issuance - Republic of Italy.
Republic of Italy,Green,2022-09-13,6000000000,EUR,6105000000,Italy,Sovereign,Climate Bonds aligned Italy sovereign issuance - Republic of Italy.
Republic of Italy,Green,2022-11-11,2000000000,EUR,2074366000,Italy,Sovereign,Climate Bonds aligned Italy sovereign issuance - Republic of Italy.
Republic of Italy,Green,2023-03-16,2400000000,EUR,2547309600,Italy,Sovereign,Climate Bonds aligned Italy sovereign issuance - Republic of Italy.
Republic of Italy,Green,2021-10-27,5000000000,EUR,5808500000,Italy,Sovereign,Climate Bonds aligned Italy sovereign issuance - Republic of Italy.
Republic of Italy,Green,2023-04-13,10000000000,EUR,10901200000,Italy,Sovereign,Climate Bonds aligned Italy sovereign issuance - Republic of Italy.
Republic of Italy,Green,2024-03-15,1250000000,EUR,1362322500,Italy,Sovereign,Climate Bonds aligned Italy sovereign issuance - Republic of Italy.
Republic of India,Green,2023-01-27,40000000000,INR,490720000,India,Sovereign,Climate Bonds aligned India sovereign issuance - Republic of India.
Republic of India,Green,2023-02-10,40000000000,INR,484360000,India,Sovereign,Climate Bonds aligned India sovereign issuance - Republic of India.
Republic of India,Green,2023-02-10,40000000000,INR,484360000,India,Sovereign,Climate Bonds aligned India sovereign issuance - Republic of India.
Republic of India,Green,2023-01-27,40000000000,INR,490720000,India,Sovereign,Climate Bonds aligned India sovereign issuance - Republic of India.
Republic of India,Green,2024-01-23,50000000000,INR,600800000,India,Sovereign,Climate Bonds aligned India sovereign issuance - Republic of India.
Republic of India,Green,2023-12-11,50000000000,INR,599950000,India,Sovereign,Climate Bonds aligned India sovereign issuance - Republic of India.
Republic of India,Green,2024-02-05,50000000000,INR,601550000,India,Sovereign,Climate Bonds aligned India sovereign issuance - Republic of India.
Republic of India,Green,2023-11-13,50000000000,INR,599400000,India,Sovereign,Climate Bonds aligned India sovereign issuance - Republic of India.
Republic of Ireland,Green,2024-03-25,517150000,EUR,560486653,Ireland,Sovereign,Climate Bonds aligned Ireland sovereign issuance - Republic of Ireland.
Republic of Ireland,Green,2023-01-12,3500000000,EUR,3800919500,Ireland,Sovereign,Climate Bonds aligned Ireland sovereign issuance - Republic of Ireland.
Republic of Ireland,Green,2021-11-15,747500000,EUR,855439000,Ireland,Sovereign,Climate Bonds aligned Ireland sovereign issuance - Republic of Ireland.
Republic of Ireland,Green,2020-09-14,1100590000,EUR,1307060684,Ireland,Sovereign,Climate Bonds aligned Ireland sovereign issuance - Republic of Ireland.
Republic of Ireland,Green,2019-10-17,2000000000,EUR,2209740000,Ireland,Sovereign,Climate Bonds aligned Ireland sovereign issuance - Republic of Ireland.
Republic of Ireland,Green,2018-10-17,3000000000,EUR,3459000000,Ireland,Sovereign,Climate Bonds aligned Ireland sovereign issuance - Republic of Ireland.
Republic of Indonesia,Green,2023-07-06,800000000000,IDR,52669002,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-06-08,2400000000000,IDR,161708722,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-05-11,1050000000000,IDR,71061181,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-08-31,800000000000,IDR,52500328,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-10-13,1000000000000,IDR,63682099,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-11-23,850000000000,IDR,54366945,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-12-07,590000000000,IDR,38047334,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-12-21,350000000000,IDR,22659588,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2024-01-25,2200000000000,IDR,139108442,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2024-02-22,750000000000,IDR,47910465,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2024-03-21,1000000000000,IDR,63585928,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-02-23,1250000000000,IDR,82142270,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2019-11-28,1460000000000,IDR,103531717,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2021-06-09,750000000,USD,750000000,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2020-12-02,5421257000000,IDR,384679223,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2020-06-23,750000000,USD,750000000,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2019-02-20,750000000,USD,750000000,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2018-03-01,1250000000,USD,1250000000,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2023-03-27,500000000000,IDR,33087384,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2022-10-20,1260000000000,IDR,80966196,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Republic of Indonesia,Green,2022-09-22,4400000000000,IDR,292813101,Indonesia,Sovereign,Climate Bonds aligned Indonesia sovereign issuance - Republic of Indonesia.
Government of Hungary,Green,2022-02-17,27695690000,HUF,88435182,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-03-17,24688000000,HUF,73330759,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-07-07,12158660000,HUF,30688458,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-02-25,4700000000,JPY,40899673,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-02-25,46800000000,JPY,407256314,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-02-25,7800000000,JPY,67876052,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2023-09-06,30371340000,HUF,83642670,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2023-11-29,15618530000,HUF,45340593,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2023-05-17,10197860000,HUF,29879730,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2021-07-08,30224010000,HUF,100162369,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2021-10-06,10126670000,HUF,32587624,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2021-12-01,12120830000,HUF,37816990,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2021-12-16,1000000000,CNY,157045287,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2020-09-18,15500000000,JPY,148523362,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2020-06-05,1500000000,EUR,1699500000,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-08-04,16748550000,HUF,43062020,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-09-21,19906910000,HUF,48055281,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-09-01,29160000000,HUF,73005816,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-11-14,2000000000,CNY,282724000,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-06-29,15293110000,HUF,40542035,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2023-03-22,11501150000,HUF,32283728,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2023-11-02,11439130000,HUF,31800781,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2021-04-28,41200000000,HUF,137466205,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Hong Kong Special Administrative Region Government,Green,2019-05-28,1000000000,USD,1000000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2021-02-02,1000000000,USD,1000000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2021-02-02,500000000,USD,500000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2021-02-02,1000000000,USD,1000000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2021-11-24,500000000,EUR,560300000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2021-11-30,2500000000,CNY,392395884,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-06-07,1000000000,USD,1000000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-06-07,750000000,USD,750000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-06-07,3000000000,CNY,420768000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2021-11-30,2500000000,CNY,392395884,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-02-16,800000000,HKD,101921600,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-01-11,500000000,USD,500000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-06-07,750000000,EUR,803031750,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-01-11,1000000000,USD,1000000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-01-11,500000000,USD,500000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-01-11,1000000000,USD,1000000000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-01-11,500000000,EUR,538207000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-01-11,750000000,EUR,807310500,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-01-11,5000000000,CNY,738500000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-01-11,5000000000,CNY,738500000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
Hong Kong Special Administrative Region Government,Green,2023-10-10,20000000000,HKD,2557700000,China_HK,Sovereign,Climate Bonds aligned China_HK sovereign issuance - Hong Kong Special Administrative Region Government.
United Kingdom,Green,2023-02-01,3000000000,GBP,3715977000,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2022-10-18,243000000,GBP,274929252,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2022-04-19,90000000,GBP,117204508,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2022-05-10,2250000000,GBP,2774285881,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2022-07-19,117000000,GBP,140518505,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2023-07-05,2000000000,GBP,2540814000,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2024-02-07,2500000000,GBP,3145247500,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2023-05-25,3000000000,GBP,3708603000,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2023-12-07,3000000000,GBP,3776364000,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2023-02-23,2000000000,GBP,2403384000,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2022-09-29,4500000000,GBP,4880929765,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2022-11-09,2750000000,GBP,3124756250,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2022-10-18,285000000,GBP,323281485,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2022-07-19,57000000,GBP,68457733,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2022-04-19,54000000,GBP,70322705,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2023-10-04,2250000000,GBP,2727702000,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2023-09-27,3000000000,GBP,3640446000,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2021-10-22,6000000000,GBP,8270712339,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
United Kingdom,Green,2021-09-22,10000000000,GBP,13638372093,UK,Sovereign,Climate Bonds aligned UK sovereign issuance - United Kingdom.
Republic of France,Green,2023-05-08,1911000000,EUR,2112816888,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2020-07-02,2109000000,EUR,2380217400,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2020-02-10,1982000000,EUR,2170488200,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2019-05-06,2471000000,EUR,2767272899,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2019-02-11,1737000000,EUR,1958641200,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2018-04-09,1096000000,EUR,1344682400,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2017-12-11,1065000000,EUR,1254250500,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2017-01-31,7000000000,EUR,7558600000,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2023-02-06,2772000000,EUR,2974175820,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2021-06-07,2280000000,EUR,2773665600,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2021-03-23,7000000000,EUR,8318099999,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2021-02-08,1499000000,EUR,1802547500,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2020-04-06,2607000000,EUR,2813213700,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2019-09-09,1676000000,EUR,1847438040,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2017-06-05,1632000000,EUR,1922006400,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2024-01-23,8000000000,EUR,8709832000,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2022-09-19,549000000,EUR,548451000,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2022-07-11,2312000000,EUR,2334657600,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2022-06-01,4000000000,EUR,4285200000,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2023-04-24,702000000,EUR,768859884,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2023-08-21,481000000,EUR,524191395,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2023-02-20,492000000,EUR,525612948,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2023-09-25,488000000,EUR,518917240,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2024-01-22,378000000,EUR,411160050,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2022-02-07,2784000000,EUR,3186844800,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2023-11-06,3037000000,EUR,3255615408,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2021-09-05,2122000000,EUR,2518106667,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2021-11-08,2067000000,EUR,2393379300,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Republic of France,Green,2018-07-03,4000000000,EUR,4663600000,France,Sovereign,Climate Bonds aligned France sovereign issuance - Republic of France.
Government of Fiji,Sustainability,2023-11-08,15000000,USD,15000000,Fiji,Sovereign,Climate Bonds aligned Fiji sovereign issuance - Government of Fiji.
Government of Fiji,Sustainability,2023-11-08,5000000,USD,5000000,Fiji,Sovereign,Climate Bonds aligned Fiji sovereign issuance - Government of Fiji.
Republic of Fiji,Green,2018-06-20,26620000,FJD,12677242,Fiji,Sovereign,Climate Bonds aligned Fiji sovereign issuance - Republic of Fiji.
Republic of Fiji,Green,2017-12-28,20000000,FJD,9601400,Fiji,Sovereign,Climate Bonds aligned Fiji sovereign issuance - Republic of Fiji.
Republic of Fiji,Green,2017-11-01,20000000,FJD,9545200,Fiji,Sovereign,Climate Bonds aligned Fiji sovereign issuance - Republic of Fiji.
Republic of Fiji,Green,2017-11-01,20000000,FJD,9545200,Fiji,Sovereign,Climate Bonds aligned Fiji sovereign issuance - Republic of Fiji.
Republic of Fiji,Green,2018-07-18,13380000,FJD,6357507,Fiji,Sovereign,Climate Bonds aligned Fiji sovereign issuance - Republic of Fiji.
Kingdom of Spain,Green,2022-03-03,1216110000,EUR,1345703546,Spain,Sovereign,Climate Bonds aligned Spain sovereign issuance - Kingdom of Spain.
Kingdom of Spain,Green,2022-05-19,1020090000,EUR,1073644725,Spain,Sovereign,Climate Bonds aligned Spain sovereign issuance - Kingdom of Spain.
Kingdom of Spain,Green,2022-11-03,970910000,EUR,946606181,Spain,Sovereign,Climate Bonds aligned Spain sovereign issuance - Kingdom of Spain.
Kingdom of Spain,Green,2023-04-18,1441230000,EUR,1581840722,Spain,Sovereign,Climate Bonds aligned Spain sovereign issuance - Kingdom of Spain.
Kingdom of Spain,Green,2023-10-10,1924081000,EUR,2040372456,Spain,Sovereign,Climate Bonds aligned Spain sovereign issuance - Kingdom of Spain.
Kingdom of Spain,Green,2021-09-14,5000000000,EUR,5907000000,Spain,Sovereign,Climate Bonds aligned Spain sovereign issuance - Kingdom of Spain.
Kingdom of Denmark,Green,2022-05-18,2660000000,DKK,376129483,Denmark,Sovereign,Climate Bonds aligned Denmark sovereign issuance - Kingdom of Denmark.
Kingdom of Denmark,Green,2022-07-06,2360000000,DKK,322805801,Denmark,Sovereign,Climate Bonds aligned Denmark sovereign issuance - Kingdom of Denmark.
Kingdom of Denmark,Green,2022-01-21,5005000000,DKK,762478367,Denmark,Sovereign,Climate Bonds aligned Denmark sovereign issuance - Kingdom of Denmark.
Kingdom of Denmark,Green,2023-10-03,7750000000,DKK,1102135250,Denmark,Sovereign,Climate Bonds aligned Denmark sovereign issuance - Kingdom of Denmark.
Kingdom of Denmark,Green,2023-11-10,2280000000,DKK,326703480,Denmark,Sovereign,Climate Bonds aligned Denmark sovereign issuance - Kingdom of Denmark.
Kingdom of Denmark,Green,2024-03-08,2605000000,DKK,382278540,Denmark,Sovereign,Climate Bonds aligned Denmark sovereign issuance - Kingdom of Denmark.
Kingdom of Denmark,Green,2022-10-19,2950000000,DKK,387755075,Denmark,Sovereign,Climate Bonds aligned Denmark sovereign issuance - Kingdom of Denmark.
Kingdom of Denmark,Green,2022-09-07,1965000000,DKK,261198480,Denmark,Sovereign,Climate Bonds aligned Denmark sovereign issuance - Kingdom of Denmark.
Kingdom of Denmark,Green,2022-03-16,1300000000,DKK,192068484,Denmark,Sovereign,Climate Bonds aligned Denmark sovereign issuance - Kingdom of Denmark.
Federal Republic of Germany,Green,2022-04-26,1500000000,EUR,1601100000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2024-03-28,1000000000,EUR,1082544000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2021-09-10,3500000000,EUR,4138180000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2022-01-06,4000000000,EUR,4526000000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2024-02-29,1000000000,EUR,1080444000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2021-05-18,6000000000,EUR,7333200000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2023-03-21,1500000000,EUR,1616536500,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
